교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
진관IC 2교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.646696,127.161752,37.646779,127.162141,5
진관IC 3교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.64652,127.161919,37.646645,127.162297,5
진관육교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.648604,127.174206,37.648625,127.174759,4.7
용암교,일반국도47호선,경기도,남양주시,41360,경기도 남양주시 별내동,37.644164,127.130103,37.646237,127.127646,12
퇴계원IC 3교,일반국도47호선,경기도,남양주시,41360,경기도 남양주시 퇴계원면 퇴계원리,37.64241,127.133203,37.643871,127.130816,14
사능2교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 평내동,37.64939,127.216993,37.649398,127.218012,12.4
사능2교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 평내동,37.64919,127.217111,37.649224,127.218076,12.4
호평IC육교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.662786,127.238215,37.662897,127.238467,5
호평IC육교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.663005,127.238065,37.663113,127.238386,5
동이대교,일반국도37호선,경기도,연천군,41800,경기도 연천군 미산면 동이리,38.015105,127.00917,38.017158,127.017097,30.3
장암IC 1교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 장암동,37.720444,127.061635,37.720768,127.061683,21.2
장암IC 2교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 장암동,37.721038,127.061363,37.720635,127.061053,16.5
민락1교(상),일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.744409,127.103984,37.744972,127.104104,11.5
민락1교(하),일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.744988,127.103911,37.744434,127.103805,11
민락3교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 낙양동,37.749893,127.102451,37.750925,127.10142,5
자금교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.759408,127.090364,37.762157,127.086759,30.4
자금IC R-B1교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.760431,127.088074,37.760261,127.088385,25.2
자금IC R-C1교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.762778,127.088355,37.762765,127.088178,14.1
자금IC R-E교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.75993,127.086743,37.760414,127.087698,26.1
자금IC R-F교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.759854,127.087403,37.759794,127.088106,13.8
오리교1,일반국도3호선,경기도,양주시,41630,경기도 양주시 만송동,37.777557,127.077195,37.777922,127.077106,5
오리교2,일반국도3호선,경기도,양주시,41630,경기도 양주시 만송동,37.777935,127.076752,37.777559,127.076787,5
광사IC교,일반국도3호선,경기도,양주시,41630,경기도 양주시 광사동,37.783084,127.076496,37.78358,127.076469,4.8
광사1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 광사동,37.786187,127.076335,37.786989,127.076287,15
광사2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 광사동,37.7842,127.068531,37.784338,127.068381,6.1
삽사교,일반국도3호선,경기도,양주시,41630,경기도 양주시 광사동,37.792703,127.075933,37.793814,127.075852,5
고읍육교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고읍동,37.800555,127.075027,37.800459,127.075799,5.4
고읍IC교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고읍동,37.802043,127.075345,37.802286,127.075328,6
지계1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고읍동,37.809282,127.074721,37.809536,127.074662,11
지계2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.811079,127.074275,37.811295,127.074216,4.8
고암IC 1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.816237,127.07614,37.816727,127.077146,8.5
고암IC 2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.814491,127.073157,37.814804,127.073569,5.9
회천교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.819432,127.072159,37.819814,127.072083,5.1
청담천교 1,일반국도3호선,경기도,양주시,41630,경기도 양주시 옥정동,37.820254,127.072105,37.821873,127.071783,5.9
청담천교 2,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.822161,127.071451,37.82028,127.07188,6
우산교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.823466,127.071552,37.823983,127.071689,5.2
옥정교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.827771,127.074464,37.828119,127.074748,5.3
고암교,일반국도3호선,경기도,양주시,41630,경기도 양주시 고암동,37.833944,127.078717,37.83407,127.078814,5.1
회암IC 1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 회암동,37.836432,127.080645,37.836605,127.080806,4.9
회암IC 2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 회암동,37.838571,127.082287,37.838885,127.082544,13
회암천교(상),일반국도3호선,경기도,양주시,41630,경기도 양주시 회암동,37.84124,127.084003,37.84257,127.084245,15
노촌말교,일반국도3호선,경기도,양주시,41630,경기도 양주시 회암동,37.846728,127.081085,37.846885,127.080822,5.1
봉양교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.84919,127.076371,37.849262,127.076245,6
월덕보교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.849788,127.075198,37.849998,127.074827,4.2
내촌육교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.852951,127.069077,37.85312,127.068803,11
턱골교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.855223,127.064681,37.855456,127.064316,7
신내IC교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.859619,127.058903,37.859848,127.058635,4.8
신내IC R-F교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.85815,127.059279,37.858158,127.060394,4.7
